Title,Original Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Editor,Publisher,Date Published,Year Published,Edition,Genre,Summary,Guided Reading Level,Lexile Measure,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,Word Count,Number of Pages,Format,Dimensions,Weight,List Price,Language,DDC,LCC,OCLC,ISBN,Favorites,Rating,Physical Location,Status,Date Started,Date Finished,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Quantity,Condition,Recommended By,Date Added,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Uploaded Image URL,Activities
Block City,,,,,Robert Louis Stevenson,"Stevenson, Robert Louis",,,,,Songbird Publishing LLC,2012/04/01,2012,,,"How can a poem inspire you to build with blocks? Find out in Block City! Be inspired by the classic poem, ""Block City,"" by Robert Louis Stevenson, featuring richly colorful illustrations by Anne Baasch. This volume of hands-on fun inspired by classic literature includes: ""Block City,"" Folk Songs, Building Projects, & Math Activities Enjoy the follow-up activities created by Dawn Heston, author, parent and educator with the whole family. Block City is part of the series Building Connections. Also Available: Block sets from partners in education, TIMBERWORKS TOYS, for hands-on fun. For an extended version, check out Cities by the Sea, where you will enjoy Block City AND travel to cities by the sea around the world while finding several fun activities along the way. https: //www.createspace.com/3628773",,,,,,,28,,,,,English,,,,9780983642411,0,0,,Unread,,,,,,,0,,,,2018/09/25 09:20:05.795083045,,,,,,JjAylAEACAAJ,,0,,
Dinosaur Kisses,,,,,David Ezra Stein,"Stein, David Ezra",,,,,Candlewick Press,,2013,,Juvenile Fiction,"WHOMP! An energetic young dinosaur figures out her own way to give a kiss in the latest from the creator of the Caldecott Honor–winning Interrupting Chicken.  For newly hatched dinosaur Dinah, the world is an exciting place. There is so much to see and do. She tries this — STOMP! And she tries that — CHOMP! Then she sees a kiss and knows just what she wants to try next. Who can she kiss? And after a few disastrous attempts, can she figure out how to give someone a kiss without whomping, chomping, or stomping them first? Young children will chuckle and cheer when Dinah finds just the right creature for her dinosaur kisses in this funny new picture book from David Ezra Stein.",,,,,,,32,,,,,English,,,,9780763661045,0,0,,Unread,,,,,,,0,,,,2018/09/25 09:19:31.533427953,,,,,,sfjU6swm_ZQC,,0,,
Follow the Polar Bears,,,,,Sonia Black,"Black, Sonia",,,,,Scholastic Incorporated,,2000,,In library,"""In this book, a mother polar bear, who has waited in her den for the birth of her twin cubs, teaches them how to hunt and to recognize danger. When they are grown, they set out on their own.""--Provided by publisher.",,,,,,,32,,,,,English,,,,9780439206419,0,0,,Unread,,,,,,,0,,,,2018/09/25 09:19:31.583098053,,,,,,Kk2cNwAACAAJ,,0,,
Good Night Stories for Rebel Girls,,,,,"Elena Favilli, Francesca Cavallo","Favilli, Elena",,,,,"Timbuktu Labs, Incorporated",2018/02/01,2018,,,"""Good Night Stories For Rebel Girls 2"" is the sequel to the sensational New York Times bestseller, and the most crowdfunded book of all times. The authors, Francesca Cavallo and Elena Favilli, will take you and your kids on an empowering journey through 100 new bedtime stories, featuring the adventures of extraordinary women from Nefertiti to Beyoncé. The unique narrative style of ""Good Night Stories for Rebel Girls"" transforms each biography into a fairy-tale, filling the readers with wonder and with a burning curiosity to know more about each hero. Good Night Stories for Rebel Girls 2 boasts a brand new graphic design, a glossary and 100 incredible new portraits created by the best female artists of our time. ""This amazing book shows girls they can be anything they want."" - Melinda Gates ""Essential reading for girls and indeed boys; children who read this at bedtime are guaranteed some big and inspirational dreams."" - Fiona Noble, The Guardian ""The anti-princess book teaching girls to rebel."" - Georgina Rannard, BBC News",,,,,,,212,,,,,English,,,,9780997895827,0,0,,Unread,,,,,,,0,,,,2018/09/25 09:19:31.562312960,,,,,,cs-YswEACAAJ,,0,,
Halloween,,,,,Jerry Seinfeld,"Seinfeld, Jerry",,,,,"Little, Brown",,2002,,Juvenile Fiction,"If the only ""really clear thought"" you had as a kid was ""Get candy,""you'll be at one with comedian Jerry Seinfeld's first children's picture book,Halloween. This nostalgic view of Halloweens past will ring true witheveryone who remembers the trials and tribulations of trick-or-treating--fromthe stupid masks with thin gray rubber straps and cheap little staples to thehumiliation of having to wear a winter coat over your store-bought Supermancostume. Of course, the smart-alecky Seinfeld puts his own stamp on things in avoice that is so distinctly his: ""Come on lady, let's go! Halloween, doorbells,candy, let's pick it up in there."" He wants ""name candy"" only, make no mistake,and even trick-or-treats with an organizational cabinet on wheels, with drawerslabeled ""Crunchy Things,"" ""Sour Things,"" ""Rejects,"" etc. James Bennett'sexaggerated, hilarious, expressive illustrations of the young Jerry (yes, itlooks exactly like him) suit the over-the-top story to a T. Unusualchild's-eye perspectives on parents (and friends up the sidewalk who won't waitup) add energy to a book that is already sugar-charged. Like Jerry's standuproutines, Halloween focuses on the minutiae and will make you laugh evenif you try to resist. (Ages 6 to adult) --Karin Snelson",,,,,,,32,,,,,English,,,,9780316706254,0,0,,Unread,,,,,,,0,,,,2018/09/25 09:19:31.541316986,,,,,,J0kPmAEACAAJ,,0,,
Hero Cat,,,,,Eileen Spinelli,"Spinelli, Eileen",,,,,Marshall Cavendish,,2006,,Juvenile Fiction,"Five tiny kittens cry for their mama, as smoke begins to fill the abandoned warehouse that has been their home. But Mother Cat has left her cozy heap of kittens to go in search of food. Determined to save her babies, Mother Cat dashes into the burning building and follows the sounds of frightened mewing. In five daring acts, she saves each kitten--a true hero cat! This story, accompanied by beautiful illustrations rendered in pastel, honors the tenth anniversary of the real story of a homeless cat who rescued her kittens from a burning building in 1996.",,,,,,,32,,,,,English,,,,9780761452232,0,0,,Unread,,,,,,,0,,,,2018/09/25 09:19:31.570034980,,,,,,uAff-V-4fFMC,,0,,
I Used to Be a Fish,,,,,Tom Sullivan,"Sullivan, Tom",,,,,HarperCollins,2016/10/11,2016,,Juvenile Fiction,"From debut author-illustrator Tom Sullivan comes a surprising and innovative picture book that is both a light introduction to the science of evolution and a tribute to every child’s power to dream big.In I Used to be a Fish, a boy is inspired by a pet fish and fueled by imagination to tell a whimsical version of his own life story, which mirrors the process of human evolution. Children—and adults—will love the Seussian absurdity of this tale.The book features a timeline of life on earth and an author’s note, which includes important facts about evolution.",,,,,,,48,,,,,English,,,,9780062451989,0,0,,Unread,,,,,,,0,,,,2018/09/25 09:19:31.604799032,,,,,,ZngpjwEACAAJ,,0,,
Little Quack's Hide and Seek,,,,,Lauren Thompson,"Thompson, Lauren",,,,,ABDO,,2009,,Juvenile Fiction,"The ducklings are playing hide-and-seek. By the time Mama counts to ten, everyone has found a hiding place...except for Little Quack. Where should he hide? Laugh along with the cutest duck family around as Little Quack's silly hiding place turns out to be the best of all! And use the QUACK-U-LATOR to help Mama count her quacky little ducklings. Spotlight is a division of the ABDO Group and features library editions of popular fiction titles. Spotlight editions are printed on high-quality paper and with reinforced library bindings specifically printed for the library market. Grades preK-6.",,,,,,,32,,,,,English,,,,9781599614946,0,0,,Unread,,,,,,,0,,,,2018/09/25 09:19:31.549461007,,,,,,XFmACZ1u7AwC,,0,,
Monkey Truck,,,,,Michael Slack,"Slack, Michael",,,,,Macmillan,2011/01/18,2011,,Juvenile Fiction,"Monkey Truck is a truck with a mission. He's on the lookout for all sorts of jungle bungles -- there are chameleons to rescue before they are squashed, snakes to untangle, and hippos to pull free. And look out for that TSUNAMI! This playful picture book, with its chant-along language and plucky pictures, is perfect for little ones who like trucks and animals (probably the two most popular toddler topics). The paper-over-board format complete with heavy interior stock makes it an excellent choice for preschoolers.",,,,,,,32,,,,,Arabic,,,,9780805088786,0,0,,Unread,,,,,,,0,,,,2018/09/25 09:19:31.610173940,,,,,,-4tbUIucn3oC,,0,,
Over in a River,,Flowing Out to the Sea,,,Marianne Berkes,"Berkes, Marianne",,,,,Dawn Publications,2013/09/01,2013,,Juvenile Fiction,"The great rivers of North America are teeming with life and on the pages of Over in a River - from blue herons in the Hudson to salmon in the Columbia, and from dragonflies in the Rio Grande to mallards in the St. Lawrence. Children will ""slither"" like water snakes and ""slide"" like otters while singing to the tune of ""Over in a Meadow."" And they'll count baby animals in watersheds all over North America! What a delightful way to learn about riparian habitats and geography at the same time!",,,,,,,26,,,,,English,,,,9781584693291,0,0,,Unread,,,,,,,0,,,,2018/09/25 09:19:31.624765038,,,,,,0PCnmAEACAAJ,,0,,
