Title,Original Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Editor,Publisher,Date Published,Year Published,Edition,Genre,Summary,Guided Reading Level,Lexile Measure,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,Word Count,Number of Pages,Format,Dimensions,Weight,List Price,Language,DDC,LCC,OCLC,ISBN,Favorites,Rating,Physical Location,Status,Date Started,Date Finished,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Quantity,Condition,Recommended By,Date Added,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Uploaded Image URL,Activities
A Charlie Brown Christmas,,,,,Charles Schulz,"Schulz, Charles",,,,,"Frederic Thomas USA, Incorporated",2016/10/01,2016,,,A Charlie Brown Christmas Storybook Greetings,,,,,,,28,,,,,English,,,,9781945546013,0,0,,Unread,,,,,,,0,,,,2018/12/11 14:50:03.66357970,,,,,,_j8ivgAACAAJ,,0,,
Big Birthday,,,,,Kate Hosford,"Hosford, Kate",,,,,Carolrhoda Books,2012/04/01,2012,,Juvenile Fiction,Annabelle is determined to have a birthday party that stands out from the rest. The moon seems like the perfect spot! But wearing spacesuits and partying in a place with no air create some challenges that Annabelle didn't expect. Will her out-of-this-world birthday still be a blast?,,,,,,,32,,,,,English,,,,9780761387220,0,0,,Unread,,,,,,,0,,,,2018/12/11 14:50:39.468335986,,,,,,lKyVtLohNIcC,,0,,
Come Home Already!,,,,,Jory John,"John, Jory",,,,,HarperCollins,2017/12/05,2017,,Juvenile Fiction,"An Amazon Best Book of the Month for Kids * A Bank Street College of Education Best Children's Books of the YearFrom the creators of Goodnight Already! and I Love You Already!, the third hysterical picture book about Duck and Bear, unlikely pals. An excited Duck wants to hang out with Bear. But Bear’s gone fishing for a whole week and is happy to finally get a second alone. What will Duck do while Bear is gone? How will he survive without his best pal?!",,,,,,,32,,,,,English,,,,9780062370976,0,0,,Unread,,,,,,,0,,,,2018/12/11 14:49:32.195184946,,,,,,QBRWMQAACAAJ,,0,,
Curious George and the Firefighters,,,,,"H. A. Rey, Anna Grossnickle Hines","Rey, H. A.",,,,,Houghton Mifflin Harcourt,2010/05/03,2010,,Juvenile Fiction,"It’s the formula for success for preschoolers—Curious George and fire trucks! Curious George and the Firefighters is a story based on H. A. and Margret Rey’s popular primate and painted in the original watercolor and charcoal style. Firefighters are a famously brave lot, but can they withstand a visit from one curious monkey?",,,,,,,24,,,,,English,,,,9780547342184,0,0,,Unread,,,,,,,0,,,,2018/12/11 14:50:25.784039,,,,,,H_il7v-J-OIC,,0,,
Dora's Chilly Day,,,,,Kiki Thorpe,"Thorpe, Kiki",,,,,ABDO,2006/07/01,2006,,Juvenile Fiction,Dora and Boots try to find some chocolate for Abuela so that she can make her chilly day surprise.,,,,,,,24,,,,,English,,,,9781599612409,0,0,,Unread,,,,,,,0,,,,2018/12/18 14:37:43.129227042,,,,,,Vge9pRwrt3sC,,0,,
"Fancy Nancy: Bonjour, Butterfly",,,,,Jane O'Connor,"O'Connor, Jane",,,,,HarperCollins,2008/02/05,2008,,Juvenile Fiction,"Nancy thinks butterflies are simply exquisite. And that is why she can't wait for her friend Bree's Butterfly Birthday. It's going to be the fanciest birthday party ever! But when Nancy finds out she can't go because her grandparents' fiftieth anniversary party is the same day, she is furious. (Mad is way too plain for how she feels.) Will Nancy be able to overcome her disappointment?   In this magical new story from bestselling duo Jane O'Connor and Robin Preiss Glasser, everybody's favorite fancy girl gets a surprise lesson in fancy from her grandparents. Looks like fancy runs in the family after all!",,,,,,,32,,,,,English,,,,9780061235887,0,0,,Unread,,,,,,,0,,,,2018/12/18 14:36:52.160874962,,,,,,IZ1FtgEACAAJ,,0,https://covers.openlibrary.org/b/id/7229933-L.jpg,
Fraidyzoo,,,,,Thyra Heder,"Heder, Thyra",,,,,Harry N. Abrams,2013/11/05,2013,,Juvenile Fiction,"It’s a great day to go to the zoo! As her family hustles to get out the door, Little T lags behind. She’s afraid to go back to the zoo; the only trouble is, she can’t remember why. As an ingenious solution to help her remember, her mom, dad, and sister construct homemade costumes and act out zoo animals—in alphabetical order, no less! The costumes and scenes grow increasingly elaborate and breathtakingly creative. An umbrella and bubble wrap magically transform into a jellyfish, bath towels and a can of soda become a parrot, and many, many more. At the end of the day, Little T has conquered her fear and no longer feels like a “fraidyzoo.” In this charming, witty picture book debut, Thyra Heder honors the bravery it takes to face your fears, and the loving people who help you do so.   Praise for Fraidyzoo STARRED REVIEWS ""WARNING: Expect riotous buffoonery after reading this clever and original alphabet story, as kids will definitely want to “parrot” the examples."" —Kirkus Reviews, starred review  ""Debut talent Heder comes up with a wildly imaginative idea for an alphabet book/animal guessing game, elaborates it with smartly drafted ink-and-watercolor spreads, and seasons it with plenty of family warmth and hullaballoo."" —Publishers Weekly, starred review  ""The cut-and-paste, handmade look and feel of this picture book underscores its thematic ode to creative problem solving... The charming, detailed watercolor and ink illustrations really tell the story, and children will relish poring over them to guess the animal costumes and identify their construction materials."" —School Library Journal  ""Heder tells a child-relevant story about facing your fears with a light hand and zippy prose, but it’s her art that dials the zippiness up to 11, as her warm and humorously realistic figures gallivant alongside some remarkably envisioned handcrafted animal puppets."" —Booklist  ""This book does the impossible, taking one of the oldest children’s book conventions, the zoo alphabet, and completely reinventing it.  It’s a story about a family helping one of their own overcome fear by being utterly silly and completely loving.  The whole thing is done with such a confident and lively style, it’s hard to believe that this is Heder’s first picture book. Fraidyzoo is funny, original, and announces Heder as a force to be reckoned with."" —The Atlantic Wire  ""Illustrations capture the empathy of a very concerned, loving, and creative family."" —Library Media Connection  Award 2014 Texas 2x2 Reading Award List Notable Children's Books from ALSC 2014",,,,,,,48,,,,,English,,,,9781419707766,0,0,,Unread,,,,,,,0,,,,2018/12/11 14:49:32.178966999,,,,,,vO3angEACAAJ,,0,,
Hug It Out!,,,,,Louis Thomas,"Thomas, Louis",,,,,Macmillan,2017/01/03,2017,,Juvenile Fiction,"A fresh, funny take on sibling rivalry and conflict resolution, as two sparring siblings are forced to ""hug it out.""Mom has had enough of Woody and Annie's incessant fighting. When her pleas for sharing and apologizing are ignored, she demands they ""hug it out."" At first, the warring siblings are confused. Hugging? But after a long afternoon of forced embraces, the brother and sister decide to call a truce to avoid yet another icky hug. However it doesn't take long for them to miss that newfound closeness. And soon they're looking for something to fight about so they can hug it out once more! Adults will delight in a new solution to conflict, while kids will enjoy yelling ""HUG IT OUT!"" at each familiar situation. With subversive humor and smart, eye-catching illustrations, Louis Thomas's debut is a cheeky tribute to sibling rivalry and (cuddly) compromise.",,,,,,,40,,,,,English,,,,9780374303143,0,0,,Unread,,,,,,,0,,,,2018/12/18 14:36:52.99271059,,,,,,3sZlDQAAQBAJ,,0,,
"It's a Big World, Little Pig!",,,,,Kristi Yamaguchi,"Yamaguchi, Kristi",,,,,"Sourcebooks, Incorporated",,2012,,Juvenile Fiction,"Poppy, the adorable, persistent, dreaming-big pig, has a new adventure in store for her: the World Games ice-skating championship in Paris! Poppy is nervous about meeting so many new people in a new place. But, ever courageous and supported by her family (Emma, too!), Poppy embarks upon this exciting adventure head-on. She meets a snowboarding Panda, a Maltese who skies, and two fellow skaters, a Crane and a Kangaroo. Poppy begins to realize that although these animals look different, act different, and are from different places, they are all the same at heart. They all smile in the same language!",,,,,,,32,,,,,English,,,,9781402266447,0,0,,Unread,,,,,,,0,,,,2018/12/18 14:36:52.154217004,,,,,,hmRYXwAACAAJ,,0,,
It's Sharing Day!,,,,,Kirsten Larsen,"Larsen, Kirsten",,,,,Simon and Schuster,2007/01/23,2007,,Juvenile Fiction,"It's Sharing Day! Join Dora and Boots on their way to Abuela's house for a special Sharing Day lunch. First they have to pick up ingredients for their special dessert. Along the way, they learn how important and rewarding it is to share.",,,,,,,24,,,,,English,,,,9781416915751,0,0,,Unread,,,,,,,0,,,,2018/12/18 14:36:52.45532941,,,,,,OyDuhcrZugQC,,0,,
