Title,Original Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Editor,Publisher,Date Published,Year Published,Edition,Genre,Summary,Guided Reading Level,Lexile Measure,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,Word Count,Number of Pages,Format,Dimensions,Weight,List Price,Language,DDC,LCC,OCLC,ISBN,Favorites,Rating,Physical Location,Status,Date Started,Date Finished,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Quantity,Condition,Recommended By,Date Added,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Uploaded Image URL,Activities
A Tale of Two Pandas,,,,,Adrienne Kennaway,"Kennaway, Adrienne",,,,,Happy Cat Books (UK),2000/06/01,2000,,Internet Archive Wishlist,,,,,,,,32,,,,,,,,,9781899248742,0,0,,Unread,,,,,,,0,,,,2018/07/26 08:30:22.351451992,,,,,,,,0,https://covers.openlibrary.org/b/id/2103434-L.jpg,
As an Oak Tree Grows,,,,,G. Brian Karas,"Karas, G. Brian",,,,,Penguin Group (USA,,2014,,Fiction,"A child plants an acorn. An oak tree sprouts. For the next two hundred years, generations of people come and go, but the tree remains standing strong, sole witness to the remarkable changes taking place all around it. This inventive picture book relays history from a unique perspective, showing how much the world can transform from a single vantage point. In the span of two hundred years, methods of transportation, communication and energy use progress rapidly while other things hardly seem to change at all. Perfect for budding historians and nature enthusiasts alike, the time-lapse quality of the detail-packed illustrations will draw readers in as they pore over each spread to spot the changes that come with each new era. A fact-filled poster is included to add to the fun. Praise for G. Brain Karas On Earth'Original and appealing . . . This ambitious nonfiction picture book might be a good place to start small children thing big.' BooklistAtlantic 'Both playful and inventive. A sureness and sophistication of design underlie the compostions . . . Creative introduction to the Atlantic.' Booklist",,,,,,,32,,,,,English,,,,9780399252334,0,0,,Unread,,,,,,,0,,,,2018/07/26 07:55:05.570001006,,,,,,Zk1fngEACAAJ,,0,,
Brave Little Fox,,,,,Muriel Pépin,"Pépin, Muriel",,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,Unread,,,,,,,0,,,,2018/07/26 08:32:28.342237949,,,,,,,,0,https://s3.amazonaws.com/kimicoapps-bookbuddy/C17D9ED9-FFA3-42AC-81EB-57794D23F573,
Curious George and the Pizza,,,,,H. A. Rey,"Rey, H. A.",,,,,Houghton Mifflin Harcourt,,1985,,Juvenile Fiction,"Curious George is up to his elbows in dough and trouble as he tries his hand at making pizza. Tony the baker chases him out of his restaurant, and George hides in a truck in the alley. An angry Tony becomes a grateful Tony when George helps him deliver a pizza in a way that only a monkey could.",,,,,,,32,,,,,English,,,,9780395390399,0,0,,Unread,,,,,,,0,,,,2018/07/16 10:39:41.685269951,,,,,,oQ4RwYzf8FoC,,0,,
"Daffodil, Crocodile",,,,,Emily Jenkins,"Jenkins, Emily",,,,,"Farrar, Straus and Giroux (BYR)",2007/04/17,2007,,Juvenile Fiction,"Triplet Daffodil does not want to be as sweet as a flower, and she is sick and tired of constantly being mistaken for her sisters. With a papier-mâché crocodile head and a ""Raaa raaa raaa chomp chomp chomp,"" Daffodil embarks on a day of getting dirty, biting trees, and playing with her food. One thing is for sure - everyone knows the crocodile is DAFFODIL, not Rose or Violet. But what is Daffodil to do when her crocodile head falls apart? Will she go back to being a pretty, clean little flower of a girl?  Bright illustrations enliven this charming story of a spunky heroine asserting herself as an individual.",,,,,,,32,,,,,English,,,,9780374399443,0,0,,Unread,,,,,,,0,,,,2018/07/26 08:30:22.340229034,,,,,,65hlHQAACAAJ,,0,,
Emeraldalicious,,,,,Victoria Kann,"Kann, Victoria",,,,,HarperCollins,2013/01/29,2013,,Juvenile Fiction,"Everyone’s favorite pink-loving gal returns in Emeraldalicious, the imaginative, glitterlicious sequel to the #1 New York Times bestselling Pinkalicious!Pinkalicious combines magic, love, and imagination to turn an ordinary place into an Emeraldalicious world.Pinkalicious and Peter visit their favorite park, but on the way Pinkalicious’s wand breaks. She isn’t worried at all, because she knows just what to do. She takes a stick, some vines, and a very special flower to make a magical wand.When Pinkalicious and Peter finally arrive at the park it’s covered in stinky trash! But never fear, Pinkalicious is here with her magical wand, lots of love, and pinktastic rhymes to turn the trash into an Emeraldalicious paradise.",,,,,,,40,,,,,English,,,,9780061781261,0,0,,Unread,,,,,,,0,,,,2018/07/26 12:40:25.305256962,,,,,,jMUyLgEACAAJ,,0,,
Falcon,,,,,Tim Jessell,"Jessell, Tim",,,,,Random House,,2012,,Juvenile Fiction,"A young boy imagines what it would be like to fly as a falcon and see the world from on high. Soaring through the skies, he describes the sights and sounds of the world below. From snow-capped mountains to lush valleys, over rolling ocean and up rocky cliffs, Falcon will awaken the senses of every reader.",,,,,,,40,,,,,English,,,,9780375868665,0,0,,Unread,,,,,,,0,,,,2018/07/18 09:19:51.735847949,,,,,,p-Y_sCV2PPoC,,0,,
Fireboat,,The Heroic Adventures of the John J. Harvey,,,Maira Kalman,"Kalman, Maira",,,,,G.P. Putnam's Sons,,2002,,Juvenile Nonfiction,"* ""A hundred years from now, when people want to know what we told our children about 9/11, Kalman's book should be among the first answers.""--Booklist, starred review  * ""Intelligently conveys those unfathomable events in a way that a picture book audience can comprehend. . . . With this inspiring book, Kalman sensitively handles a difficult subject in an age-appropriate manner.""--Publishers Weekly, starred review  * ""Fireboat does many things. It sets forth an adventure, helps commemorate an anniversary, offers an interesting bit of history, celebrates the underdog, and honors the fire-fighting profession. Children and adults will respond to it in as many ways.""--School Library Journal, starred review  * ""Exciting, uplifting, and child-sensitive. . . . Revisits the tragedy without the terror and conveys pride without preachiness.""--The Bulletin of the Center for Children's Books, starred review  * ""Quintessential New York artist Kalman gives us an idiosyncratic but informative look at a Big Apple institution. . . . Kalman's use of the events of September 11 is honest and honorable, and rarely is she as straightforward as she is here.""--The Horn Book, starred review This is the inspiring true story of the John J. Harvey--a retired New York City fireboat reinstated on September 11, 2001. Originally launched in 1931, the Harvey was the most powerful fireboat of her time. After the September 11 attacks, with fire hydrants at Ground Zero inoperable and the Hudson River's water supply critical to fighting the blaze, the fire department called on the Harvey for help. There were adjustments--forcing water into hoses by jamming soda bottles and wood into nozzles with a sledgehammer--and then the fireboat's volunteer crew pumped much-needed water to the disaster site. The John J. Harvey proved she was still one of New York's Bravest!  Maira Kalman brings a New York City icon to life, celebrating the energy, vitality and hope of a place and its people.",,,,,,,48,,,,,English,,,,9780399239533,0,0,,Unread,,,,,,,0,,,,2018/07/26 08:30:22.347216963,,,,,,czzhAAAAMAAJ,,0,,
Fly Guy Presents: Sharks,,,,,Tedd Arnold,"Arnold, Tedd",,,,,Scholastic,,2013,,Juvenile Nonfiction,"Fly Guy is buzzzzing on over to the nonfiction genre!  Award-winning author/illustrator Tedd Arnold brings nonfiction to life with the help of his very popular main character, Fly Guy! This engaging nonfiction reader combines the kid-friendly humor of Fly Guy with the high-interest topic of sharks! Fly Guy and Buzz introduce young readers to sharks with straightforward fun facts, humorous asides, and full-bleed photographs throughout.  *FOIL ON THE COVER!*",,,,,,,32,,,,,English,,,,9780545507714,0,0,,Unread,,,,,,,0,,,,2018/07/18 09:19:51.707288026,,,,,,ZD0yngEACAAJ,,0,,
Fossil,,,,,Bill Thomson,"Thomson, Bill",,,,,Amazon Childrens Publishing,2013/11/05,2013,,Juvenile Fiction,"When a boy and his dog go for a hike, the boy trips on a fossil, and it comes to life, revealing an ancient plant. The boy is so intrigued that he breaks two more fossils and they too come to life - showing a prehistoric dragonfly and a pterodactyl. The dog jumps on the pterodactyl's back, and the boy, desperate to get his dog back, figures out a way to make things go back to normal. Using original art, this ""wordless story"" will surely spark imagination and creativity.",,,,,,,,,,,,English,,,,9781477847008,0,0,,Unread,,,,,,,0,,,,2018/07/16 10:39:41.701238036,,,,,,3n0GnAEACAAJ,,0,,
