Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Publisher,Date Published,Year Published,Genre,Edition,Editor,Summary,Guided Reading Level,Lexile Measure,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,Word Count,Original Title,Number of Pages,Format,Dimensions,Weight,List Price,Language,DDC,LCC,OCLC,ISBN,Favorites,Rating,Physical Location,Status,Date Started,Date Finished,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Quantity,Condition,Recommended By,Date Added,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Uploaded Image URL,Activities
"3, 2, 1, Liftoff!",,,,Sonia Sander,"Sander, Sonia",,,,Scholastic Inc.,,2011,Juvenile Fiction,,,"Build your LEGO library!Lego City goes into Space! This new reader ties in with one of Lego's major toy themes for Fall 2011, which is sure to be a hit with Lego fans.",,,,,,,,31,,,,,English,,,,9780545331678,0,0,,Unread,,,,,,,0,,,,2018/05/18 13:11:23.327805042,,,,,,tcaGOWqgKt0C,,0,,
How to Speak Moo!,,,,Deborah Fajerman,"Fajerman, Deborah",,,,Barron's,,2002,Juvenile Fiction,,,"If the title sounds a little peculiar, that's just the start! Here's a totally silly book about cows that is sure to make kids giggle. It tells boys and girls all about the way cows do the high moo and the low moo . . . the bumpy moo and the jumpy moo. Kids are invited to try these moos out for themselves. Then they can discover how their moo sounds in a tunnel. Or through a funnel. Deborah Fajerman's wonderfully quirky pictures and absolutely preposterous story will have young readers mooing along with the experts as they demonstrate the wonderful versatility of cows engaged in spirited conversation. Full-color illustrations on every silly page. (Ages 3-6)",,,,,,,,32,,,,,English,,,,9780764122859,0,0,,Unread,,,,,,,0,,,,2018/05/18 13:11:23.315950989,,,,,,HYPuB8p69X4C,,0,,
Snappsy the Alligator (Did Not Ask to Be in This Book),,,,Julie Falatko,"Falatko, Julie",,,,Penguin Young Readers Group,,2016,Juvenile Fiction,,,"""Snappsy the alligator is having a normal dayawhen a pesky narrator steps in to spice up the story.aIs Snappsy reading a book . . . or is he making craftyaplans? Is Snappsy on his way to the grocery store . . . or is he prowlingathe forest for defenseless birds and fuzzy bunnies? Is Snappsy innocently shopping for a party . . . or is he obsessedawith snack foods that start with the letter P? What's the truth'a Snappsy the Alligator (Did Not Ask to Be in This Book)ais an irreverent look at storytelling, friendship, and creative differences, perfect for fans of Mo Willems. Praise foraSnappsy the Alligator (Did Not Ask to Be in This Book)-'This is the first book for both Falatko and Miller, and it's an excellent one-Falatko's writing nimbly zigs and zags around Miller's bold, goofy cartoons.'aPublishers Weekly,aStarred Review!'More than merely meta, Snappsy is clearly a book, if not a protagonist, with bite.' Kirkus Reviews,aStarred Review!'If a pesky narrator did thatato Me, I'd bite 'em right on the-*Ahem* Great job with your creative conflict resolution, Snappsy!'aAme Dyckman,aNew York Timesabestselling author ofaWolfie the BunnyaandaBoy + Bot'Adam Rex didn't ask to be on this book either. But despite being a mean man who generally dislikes debut authors he is a fan of Snappsy the Alligator.'aAdam Rex, author ofaFrankenstein Makes a SandwichaandaMoonday'Modern storytelling that never compromises, page after hilarious page.'aBob Shea, author ofaDinosaur vs. BedtimeaandaCheetah Can't Lose""",,,,,,,,40,,,,,English,,,,9780451469458,0,0,,Unread,,,,,,,0,,,,2018/05/18 13:11:23.301671028,,,,,,VlraCwAAQBAJ,,0,,
Stick and Stone,,,,Beth Ferry,"Ferry, Beth",,,,Houghton Mifflin Harcourt,,2015,Fiction,,,"When Stick rescues Stone from a prickly situation with a Pinecone, the pair becomes fast friends. But when Stick gets stuck, can Stone return the favor? Author Beth Ferry makes a memorable debut with a warm, rhyming text that includes a subtle anti-bullying message even the youngest reader will understand. New York Times bestselling illustrator Tom Lichtenheld imbues Stick and Stone with energy, emotion, and personality to spare. In this funny story about kindness and friendship, Stick and Stone join George and Martha, Frog and Toad, and Elephant and Piggie, as some of the best friend duos in children's literature.",,,,,,,,48,,,,,English,,,,9780544032569,0,0,,Unread,,,,,,,0,,,,2018/05/18 13:11:23.293401002,,,,,,9TbuBwAAQBAJ,,0,,
Yum! Yum!!,Delicious Nursery Rhymes,,,Joanne Fitzgerald,"Fitzgerald, Joanne",,,,Fitzhenry & Whiteside,2007/11/01,2007,Juvenile Nonfiction,,,"This little piggy went to market, and he's not alone in this baker's dozen of traditional nursery rhymes set at a farmer's market. There are lots of other folk who have their own comestible business to attend to: Tommy Tucker, Jack Sprat, Miss Muffet, Peter Piper-even the little guy who eats his peas with honey.Joanne Fitzgerald creates a world of animal characters with the same charm and bounce as her latest bestseller, This is Me and Where I Am. A grand, lip-smacking collection for little ones.List of Rhymes:Little Tommy TuckerJack SpratHey Diddle DiddleThis Little PiggyPeter Piper Pease Porridge HotI Eat My Peas with HoneyIf All the World were Apple PieI Had a Little Nut TreePolly Put the Kettle OnHiggledy, PiggledyLittle Jack HornerLittle Miss Muffet",,,,,,,,32,,,,,English,,,,9781550418880,0,0,,Unread,,,,,,,0,,,,2018/05/18 13:11:23.288426041,,,,,,2XhPA27yzPwC,,0,,
Little Critter: We Are Moving,,,,Mercer Mayer,"Mayer, Mercer",,,,HarperCollins,2012/10/09,2012,Juvenile Fiction,,,"When Mom and Dad tell Little Critter® they have exciting news, he thinks they mean they're getting a new dog—not moving to a new house! Will he be able to bring his sandbox? What if he has to go to a new school full of bullies? What if his new next-door neighbors are monsters!? Eventually, Little Critter learns moving is not so bad after all. . . .",,,,,,,,24,,,,,English,,,,9780061478031,0,0,,Unread,,,,,,,0,,,,2018/05/18 13:11:23.281599998,,,,,,1AqItgAACAAJ,,0,,
The Treasure Chest,,,,Dominique Falda,"Falda, Dominique",,,,North-South Books,2002/08/01,2002,Juvenile Fiction,,,"When Owl notices that Squirrel has found a treasure chest, he runs and tells all the forest animals, causing a big stir as the animals try to guess what treasures he has found. Reprint.",,,,,,,,32,,,,,English,,,,9780735816961,0,0,,Unread,,,,,,,0,,,,2018/05/18 13:11:23.275408029,,,,,,mVo5HehVYKUC,,0,,
Only a Star,,,,Margery Facklam,"Facklam, Margery",,,,Eerdmans Young Readers,,1996,Juvenile Nonfiction,,,"Were there decorations that first Christmas night? Not the fancy ornaments of today, but there was the light of a very special star . . . and much more.",,,,,,,,32,,,,,English,,,,9780802851222,0,0,,Unread,,,,,,,0,,,,2018/05/18 13:11:23.269091963,,,,,,Z3hK6aE-5qYC,,0,,
What Mommies Do Best What Daddies Do Best,,,,Laura Numeroff,"Numeroff, Laura",,,,Simon & Schuster Books for Young Readers,1998/04/01,1998,Juvenile Fiction,,,"Daddies can do lots of things, like bake you a birthday cake, play with you in the park, and take you trick-or-treating. But what do they do best? Mommies can do lots of things, like teach you how to ride a bike, sew a loose button on your teddy bear, and read you a cozy bedtime story. But what do they do best? The answer is made perfectly clear in this irresistible celebration of parents and the everyday things they do.",,,,,,,,40,,,,,English,,,,9780689805776,0,0,,Unread,,,,,,,0,,,,2018/05/18 13:11:23.240138053,,,,,,7vimNwAACAAJ,,0,,
Play with Me,,,,Marie Hall Ets,"Ets, Marie Hall",,,,Penguin,,1976,Juvenile Fiction,,,"A Caldecott Honor Book Out in a meadow, a little girl just wants to play, but the animals keep running away. Until she sits still by the pond, and they all come back to her. Teaching patience and gentleness this classic story is wonderful for children of all ages.",,,,,,,,32,,,,,English,,,,9780140501780,0,0,,Unread,,,,,,,0,,,,2018/05/10 07:28:40.646209001,,,,,,8l89DwAAQBAJ,,0,,
Let's Draw Things That Go,,,,Kasia Dudziuk,"Dudziuk, Kasia",,,,Rosen Publishing Group,2016/12/15,2016,,,,"Sports cars, trains, and airplanes are just some of the vehicles young readers can learn to draw by following step-by-step instructions. Through accessible text and clear images of each step, readers are shown how to draw a wide variety of popular things that go. Each series of instructions also includes a colorful illustration of the finished product to give readers an example as they create their own drawings. Action-packed works of art featuring helicopters, police cars, and submarines are just a few simple steps away!",,,,,,,,32,,,,,English,,,,9781499481860,0,0,,Unread,,,,,,,0,,,,2018/05/10 07:28:17.934990048,,,,,,TMhgvgAACAAJ,,0,,
Mean soup,,,,Betsy Everitt,"Everitt, Betsy",,,,Harcourt Brace Jovanovich,,1992,Fiction,,,It has been a bad day for Horace. A very bad day. He's come home feeling mean. But his mother knows just what to do!,,,,,,,,,,,,,English,,,,9780152531461,0,0,,Unread,,,,,,,0,,,,2018/05/10 07:28:17.931311011,,,,,,,,0,https://covers.openlibrary.org/b/id/114410-L.jpg,
How to Train a Train,,,,Jason Carter Eaton,"Eaton, Jason Carter",,,,Candlewick Press,,2013,Internet Archive Wishlist,,,,,,,,,,,,,,,,,,,,9780763663070,0,0,,Unread,,,,,,,0,,,,2018/05/10 07:28:17.927788972,,,,,,,,0,https://covers.openlibrary.org/b/id/7270723-L.jpg,
"Wake up, it's Spring!",,,,Lisa Campbell Ernst,"Ernst, Lisa Campbell",,,,HarperCollins,,2004,Fiction,,,,,,,,,,,,,,,,,,,,9780060089856,0,0,,Unread,,,,,,,0,,,,2018/05/10 07:28:17.924973964,,,,,,,,0,https://covers.openlibrary.org/b/id/21527-L.jpg,
Hunter & Stripe and the soccer showdown,,,,Laura Elliott,"Elliott, Laura",,,,Katherine Tegen Books,,2005,In library,,,,,,,,,,,,,,,,,,,,9780060527600,0,0,,Unread,,,,,,,0,,,,2018/05/10 07:28:17.920794010,,,,,,,,0,https://covers.openlibrary.org/b/id/27505-L.jpg,
No milk!,,,,Jennifer A. Ericsson,"Ericsson, Jennifer A.",,,,Tambourine Books,,1993,Cows,,,,,,,,,,,,,,,,,,,,9780688113070,0,0,,Unread,,,,,,,0,,,,2018/05/10 07:28:17.916558980,,,,,,,,0,,
Ruby In Her Own Time (Scholastic Bookshelf),,,,Jonathan Emmett,"Emmett, Jonathan",,,,Scholastic Inc.,2007/02/01,2007,,,,,,,,,,,,32,,,,,,,,,9780439862783,0,0,,Unread,,,,,,,0,,,,2018/05/10 07:28:17.914311051,,,,,,,,0,https://covers.openlibrary.org/b/id/1230196-L.jpg,
This is the van that Dad cleaned,,,,Lisa Campbell Ernst,"Ernst, Lisa Campbell",,,,Simon & Schuster Books for Young Readers,,2005,Fiction,,,,,,,,,,,,,,,,,,,,9780689861901,0,0,,Unread,,,,,,,0,,,,2018/05/10 07:28:17.910802006,,,,,,,,0,https://covers.openlibrary.org/b/id/437952-L.jpg,
Looking after Louis,,,,Lesley Ely,"Ely, Lesley",,,,Albert Whitman,,2004,Schools,,,,,,,,,,,,,,,,,,,,9780807547465,0,0,,Unread,,,,,,,0,,,,2018/05/10 07:28:17.906211018,,,,,,,,0,https://covers.openlibrary.org/b/id/589937-L.jpg,
Chicken Little,,,,Ed Emberley and Rebecca Emberley,"Emberley, Ed Emberley and Rebecca",,,,Roaring Brook Press,,2009,In library,,,,,,,,,,,,,,,,,,,,9781596434646,0,0,,Unread,,,,,,,0,,,,2018/05/10 07:28:17.900076985,,,,,,,,0,https://covers.openlibrary.org/b/id/6296981-L.jpg,
Drum Dream Girl,how one girl's courage changed music,,,"Margarita Engle, Rafael López","Engle, Margarita",,,,Houghton Mifflin Harcourt,,2015,Fiction,,,"Girls cannot be drummers. Long ago on an island filled with music, no one questioned that rule--until the drum dream girl. In her city of drumbeats, she dreamed of pounding tall congas and tapping small bongós. She had to keep quiet. She had to practice in secret. But when at last her dream-bright music was heard, everyone sang and danced and decided that both girls and boys should be free to drum and dream.         Inspired by the childhood of Millo Castro Zaldarriaga, a Chinese-African-Cuban girl who broke Cuba's traditional taboo against female drummers, Drum Dream Girl tells an inspiring true story for dreamers everywhere.",,,,,,,,,,,,,English,,,,9780544102293,0,0,,Unread,,,,,,,0,,,,2018/05/10 07:28:17.895439028,,,,,,,,0,http://images.amazon.com/images/P/0544102290.01Z.jpg,
The ant and the grasshopper,,,,Rebecca Emberley,"Emberley, Rebecca",,,,Roaring Brook Press,,2012,Insects,,,"While hard at work on her chores, an ant hears the wonderful clickety click chirrup of music coming from the distance. Although she knows she should focus on the task at hand, she can't help but explore the joyful noise! Award-winning team Rebecca and Ed Emberley bring an entertaining new twist to the classic children's. The bright, bold graphics seem to dance and leap, as a bunch of boogying bugs start a celebration of their own.",,,,,,,,,,,,,English,,,,9781596434936,0,0,,Unread,,,,,,,0,,,,2018/05/10 07:28:17.891065955,,,,,,,,0,https://is5-ssl.mzstatic.com/image/thumb/Publication4/v4/22/0b/55/220b55dd-5b87-24e9-3dfe-3b5e8d32781a/source/512x512bb.jpg,
No Place Like Home,,,,Jonathan Emmett,"Emmett, Jonathan",,,,Candlewick Press,,2004,Juvenile Fiction,,,"The lovable Mole and his friends are back in a delightfully snug story that shows us there really is no place like home.  Mole thinks his burrow is small and dark and dull, so he sets off to find somewhere big and bright and beautiful instead. His friends Hedgehog, Squirrel, and Rabbit are full of ideas — a hollow log that's too big and drafty, an empty bird's nest that feels a bit dangerous, a nice niche beside a waterfall that's, well, a little too splashy. Finding a new home that suits him just right is not as simple as it seems!",,,,,,,,32,,,,,English,,,,9780763625542,0,0,,Unread,,,,,,,0,,,,2018/05/10 07:28:17.885192990,,,,,,RpjZAAAAMAAJ,,0,,
Miss Penny and Mr. Grubbs,,,,Lisa Campbell Ernst,"Ernst, Lisa Campbell",,,,Bradbury Press,,1991,Rabbits,,,,,,,,,,,33,,,,,,,,,9780027335637,0,0,,Unread,,,,,,,0,,,,2018/05/10 07:28:17.881703019,,,,,,,,0,,
Frida the Wondercat,,,,Betsy Everitt,"Everitt, Betsy",,,,Harcourt Brace Jovanovich,,1990,Fiction,,,"All is well for Louise and her cat, Frida, until Louise finds a ruffled collar on her doorstep that, once on, turns ordinary Frida into a piano-playing wondercat. “The zany goings-on are wonderfully depicted in the two-dimensional illustrations, drawn with deceptive naivet and carefully controlled by the skillful use of color, composition, and line.”--The Horn Book",,,,,,,,32,,,,,English,,,,9780152295400,0,0,,Unread,,,,,,,0,,,,2018/05/10 07:28:17.840039014,,,,,,0IAKAAAACAAJ,,0,,
The Pink Refrigerator,,,,Tim Egan,"Egan, Tim",,,,Houghton Mifflin Harcourt,,2007,Juvenile Fiction,,,"“Try to do as little as possible.” This was Dodsworth’s motto. One morning, on his daily trip to the junkyard, he discovers a pink refrigerator.  There’s not much to say about a pink refrigerator, except this one had a note on it. The note said, “Paint pictures.” And so Dodsworth did.  The next day, a new note appeared on the pink refrigerator. And the day after that, and the day after that.  Dodsworth liked doing as little as possible. But the pink refrigerator had big plans for him . . .",,,,,,,,32,,,,,English,,,,9780618631544,0,0,,Unread,,,,,,,0,,,,2018/05/02 20:04:00.41815042,,,,,,VgsEu9916lsC,,0,,
Incredible You!,10 Ways to Let Your Greatness Shine Through,,,"Wayne W. Dyer, Kristina Tracy","Dyer, Wayne W.",,,,"Hay House, Incorporated",,2005,Juvenile Nonfiction,,,"Dr Wayne W. Dyer has taken then 10 concepts from his book for adults ""10 Secrets for Success & Inner Peace"" and interpreted them for children, creating ""Incredible You""! Wayne believes that it's never too early for children to know that they're unique and powerful beings, and they have everything they need within themselves to create happy, successful lives. With this book, parents can introduce these important ideas to their children. The ten concepts are numbered, titled and set in rhyming verse, and vibrant illustrations bring each point to life. At the end, there are questions that kids can answer to connect these ideas to their own lives, and make them realize how incredible they truly are.",,,,,,,,32,,,,,English,,,,9781401907822,0,0,,Unread,,,,,,,0,,,,2018/05/02 20:04:00.35357952,,,,,,tILLAAAACAAJ,,0,,
Cats sleep anywhere,,,,Eleanor Farjeon,"Farjeon, Eleanor",,,,HarperCollins Publishers,,1996,Juvenile poetry,,,,,,,,,,,,,,,,,,,,9780060273347,0,0,,Unread,,,,,,,0,,,,2018/05/02 20:04:00.32534003,,,,,,,,0,https://covers.openlibrary.org/b/id/1065342-L.jpg,
"You Are the Pea, and I Am the Carrot",,,,J. Elkins,"Elkins, J.",,,,Harry N. Abrams,2013/11/05,2013,Juvenile Fiction,,,"We belong together. Combined, we make a dish. We’re made for one another, ’Cause together we’re delish.   Some things in life are made for each other: peanut butter and jelly, pancakes and syrup, hot dogs and relish . . . and two best friends who together create the ultimate recipe for friendship! Sweet, rhyming text and sidesplitting illustrations welcome young readers into a whimsical world of tasty combinations and tender sentiments and make them hungry for another read. Perfect for friends of any age, You Are the Pea, and I Am the Carrot is a delicious gift for the one you love.  Praise for You are the Pea, and I am the Carrot ""The text’s springboard is a cherished, symbiotic adult relationship (as Elkins’ dedication attests), which is lovely..."" --Kirkus Reviews  ""The concept is sound, celebrating the love between friends or family members..."" --School Library Journal  ""Every vignette is worth at least a giggle, usually an 'Awww,' and, in one instance, a book of its own..."" --Publishers Weekly",,,,,,,,32,,,,,English,,,,9781419708503,0,0,,Unread,,,,,,,0,,,,2018/05/02 20:04:00.28563976,,,,,,_kuJMwEACAAJ,,0,,
If Not for You,,,,Bob Dylan,"Dylan, Bob",,,,Simon and Schuster,2016/05/10,2016,Juvenile Fiction,,,"WINNER OF THE NOBEL PRIZE IN LITERATURE Iconic singer-songwriter Bob Dylan and illustrator David Walker team up to present this charming, cozy, and touching interpretation of “If Not for You.”If not for you…  I’d be sad and blue. If not for you… I just wouldn’t have a clue. If not for you…  What would I do? In this inventive interpretation of Bob Dylan’s 1970 song “If Not for You,” illustrator David Walker beautifully imagines Dylan’s lyrics as portraying the bottomless love between a parent and a child—and the magical experiences they might share together.",,,,,,,,32,,,,,English,,,,9781451648812,0,0,,Unread,,,,,,,0,,,,2018/05/02 20:04:00.24042010,,,,,,AM8bDAAAQBAJ,,0,,
Man Gave Names to All the Animals,,,,Bob Dylan,"Dylan, Bob",,,,Sterling,,2010,Juvenile Fiction,,,"Whimsical and witty, “Man Gave Names to All the Animals” first appeared on Bob Dylan's album Slow Train Coming in 1979. Illustrator Jim Arnosky has now crafted a stunning picture book adaptation of Dylan's song that's a treat for both children and adults, with breathtaking images of more than 170 animals plus a CD of Dylan's original recording. The revered musical legend rarely allows his songs to be illustrated, and Arnosky has done the song proud with a parade of spectacular creatures ready to receive their names-until the surprise ending, when children get to name an animal themselves!",,,,,,,,32,,,,,English,,,,9781402768583,0,0,,Unread,,,,,,,0,,,,2018/05/02 20:04:00.19294977,,,,,,I7xgngEACAAJ,,0,,
The Boy Who Loved Bananas,,,,George Elliott,"Elliott, George",,,,Kids Can Press Ltd,2006/09/01,2006,Juvenile Fiction,,,"Matthew laughs himself silly one day as he watches the banana-crazy monkeys at the Metro Zoo. That evening, bananas become Matthew's favorite food -- and he refuses to eat anything else! Over the next two weeks, he eats so many bananas that he starts to feel funny. He itches and scratches and itches and scratches until ... KABLOOEY! Suddenly, Matthew is swinging from trees and shinnying up flagpoles! His parents try everything to stop his monkey business -- doctors, veterinarians, herbalists, chiropractors, animal trainers, psychiatrists and even a psychic. But nothing seems to work. Has Matthew gone completely bananas?",,,,,,,,32,,,,,English,,,,9781554531196,0,0,,Unread,,,,,,,0,,,,2018/05/02 20:04:00.10921001,,,,,,dzYgjRqcbUIC,,0,,
Being Frank,,,,Donna W. Earnhardt,"Earnhardt, Donna W.",,,,Flashlight Press,2012/09/01,2012,Juvenile Fiction,,,"Frank follows the motto, ""Honesty is the best policy."" He tells the truth, the whole truth, and nothing but the truth. Frank never lies to his schoolmates, he always tells the truth to adults, and he’s always honest with police officers. The balancing act of finding tact, that fine line between telling the truth and telling too much truth, is the main theme of this story, and it's very funny—although not necessarily to his friend Dotti whose freckles remind Frank of the Big Dipper, or to the teacher who hears that her breath smells like onions, or to the principal who is told that his toupee looks like a weasel. No one is quite as impressed with Frank’s honesty as he thinks they should be. He is sweet and straightforward, and, well, very frank, but with everyone annoyed at him, Frank is now honestly unhappy. He decides to visit his confidante and pal, Grandpa Ernest, who has a history of frankness himself. With a few lessons from Grandpa, Frank begins to understand that the truth is important, but so is not being hurtful. With amusing characters and expressive artwork, this story tells the powerful message of finding the good in everything—a lesson that sends compassion and understanding to take the place of rudeness in the complex concept of truth.",,,,,,,,32,,,,,English,,,,9781936261192,0,0,,Unread,,,,,,,0,,,,2018/05/02 20:04:00.3345966,,,,,,swK5BQAAQBAJ,,0,,
Let's Draw Things That Go,,,,Kasia Dudziuk,"Dudziuk, Kasia",,,,Rosen Publishing Group,2016/12/15,2016,,,,"Sports cars, trains, and airplanes are just some of the vehicles young readers can learn to draw by following step-by-step instructions. Through accessible text and clear images of each step, readers are shown how to draw a wide variety of popular things that go. Each series of instructions also includes a colorful illustration of the finished product to give readers an example as they create their own drawings. Action-packed works of art featuring helicopters, police cars, and submarines are just a few simple steps away!",,,,,,,,32,,,,,English,,,,9781499481860,0,0,,Unread,,,,,,,0,,,,2018/05/02 20:03:59.999683976,,,,,,TMhgvgAACAAJ,,0,,
Planting a Rainbow,,,,Lois Ehlert,"Ehlert, Lois",,,,Houghton Mifflin Harcourt,,1988,Juvenile Nonfiction,,,"This educational and enjoyable book helps children understand how to plant bulbs, seeds, and seedlings, and nurture their growth. ""The stylized representations of flower species are labeled throughout, allowing young children to get an idea of how each flower type contributes to the rainbow effect.""-- Booklist",,,,,,,,22,,,,,English,,,,9780152626099,0,0,,Unread,,,,,,,0,,,,2018/05/02 20:03:59.992658972,,,,,,M1gEK7aN7pMC,,0,,
