Title,Original Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Editor,Publisher,Date Published,Year Published,Edition,Genre,Summary,Guided Reading Level,Lexile Measure,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,Word Count,Number of Pages,Format,Dimensions,Weight,List Price,Language,DDC,LCC,OCLC,ISBN,Favorites,Rating,Physical Location,Status,Date Started,Date Finished,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Quantity,Condition,Recommended By,Date Added,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Uploaded Image URL,Activities
Angelina Ice Skates,,,,,Katharine Holabird,"Holabird, Katharine",,,,,Pleasant Company Publications,,1993,,,"Angelina and some other mice are preparing for a New Year's Eve ice skating show, but the hockey players keep getting in the way until Angelina gets them involved.",,,,,,,24,,,,,English,,,,9.78158E+12,0,0,,Unread,,,,,,,0,,,,45:07.4,,,,,,vTI5-_x_AXwC,,0,,
"Big Snowman, Little Snowman",,,,,"Tish Rabe, Disney Storybook Artists, Disney Enterprises (1996-)","Rabe, Tish",,,,,Random House,,2013,,Juvenile Fiction,,,,,,,,32,,,,,,,,,9.78074E+12,0,0,,Unread,,,,,,,0,,,,03:33.5,,,,,,,,0,http://images.amazon.com/images/P/0736481303.01Z.jpg,
Bunny Wishes,,,,,Michaela Morgan,"Morgan, Michaela",,,,,Chicken House/Scholastic,,2007,,Juvenile Fiction,"The bunnies are back and writing their holiday wish lists--with a little help from a bunch of baby mice. A winter's (cotton) ""tail,"" the sequel to DEAR BUNNY, by acclaimed artist Caroline J. Church.  Bunny BFFs Tino and Teeny can't wait for the holidays! Tino wants food, flowers, and a telescope to see the stars. Teeny would like some sweet red berries and a pair of mittens to warm her paws. Each rabbit writes a wish list and pins it to the same hollow log where once upon a time they left letters for each other. But after they've hopped along, an icy gust of wind blows the wish lists--whoosh!--away. When a bunch of playful baby mice discover the notes, they're delighted to shred them into all sorts of winter toys. What will become of the bunnies' holiday wishes?",,,,,,,32,,,,,English,,,,9.78044E+12,0,0,,Unread,,,,,,,0,,,,05:44.7,,,,,,zn0KAQAAMAAJ,,0,,
Cat and Kit,,,,,"Jenny Koralek, Patricia MacCarthy","Koralek, Jenny",,,,,Hyperion Books for Children,,1995,,Cats,"Cat finds young Kit alone in the woods, and takes it upon himself to teach the kitten how to live in the wild.",,,,,,,32,,,,,English,,,,9.78079E+12,0,0,,Unread,,,,,,,0,,,,05:44.6,,,,,,87mFWAfAAYYC,,0,,
Dora Celebrates Earth Day!,,Little Green Nickelodeon,,,Emily Sollinger,"Sollinger, Emily",,,,,Simon Spotlight/Nickelodeon,1/6/2009,2009,,Juvenile Fiction,"Dora explores the ways we can all make a difference and help save the planet by doing simple things at home.Perfect for teaching preschoolers about the environment and what they can do to help protect the planet, This book will be printed on 100% post-consumer waste recycled paper with soy ink. The paper is FSC certified. Diego, Boots, Mami, Papi, and all of Dora's friends get involved and share their favorite tips about what YOU can do to help!",,,,,,,24,,,,,English,,,,9.78142E+12,0,0,,Unread,,,,,,,0,,,,03:33.4,,,,,,eDFMPwAACAAJ,,0,,
Dora's Pirate Adventure,,,,,Leslie Valdes,"Valdes, Leslie",,,,,ABDO,,2006,,Juvenile Fiction,Dora and her friends retrieve their costume chest from the Pirate Piggies.,,,,,,,24,,,,,English,,,,9.7816E+12,0,0,,Unread,,,,,,,0,,,,41:50.7,,,,,,2PbxMM3u42cC,,0,,
Drawn Together,,,,,Minh Lê,"Lê, Minh",,,,,Disney-Hyperion,6/5/2018,2018,,Juvenile Fiction,"When a young boy visits his grandfather, their lack of a common language leads to confusion, frustration, and silence. But as they sit down to draw together, something magical happens-with a shared love of art and storytelling, the two form a bond that goes beyond words.With spare, direct text by Minh Lê and luminous illustrations by Caldecott Medalist Dan Santat, this stirring picturebook about reaching across barriers will be cherished for years to come.",,,,,,,40,,,,,English,,,,9.78148E+12,0,0,,Unread,,,,,,,0,,,,05:44.6,,,,,,HOxXAQAACAAJ,,0,,
Ella Bella Ballerina and Cinderella,,,,,James Mayhew,"Mayhew, James",,,,,Barron's,,2009,,Juvenile Fiction,"(back cover)  Theaters are enchanted places and Ella Bella's ballet lessons at the old theater have a magic all their own...   As soon as the tune from a mysterious music box begins to play, Ella Bella finds herself dancing into the world of the Cinderella  ballet. But can Ella Bella help Cinderella attend the royal ball?   Discover the magic of famous ballets in the charming Ella Bella Ballerina books, created by the popular children's author and illustrator James Mayhew. Another book in this series is  Ella Bella Ballerina and the Sleeping Beauty, also available from Barron's.   (front flap)   Ella Bella Ballerina and Cinderella   Written and Illustrated by James Mayhew  Ella Bella loves Madame Rosa's ballet class, which is held at an old theater that seems touched by magic. One day, when Ella loses one of her slippers, Madame Rosa lends her another pair for dancing--and is then reminded of Cinderella and her story of the lost slipper. Madame Rosa recounts the tale to her students, and Ella Bella listens with heightened interest. When their day's lesson is over, Ella lingers at the theater, then opens Madame Rosa's magical music box and listens as it plays melodies from the Cinderella ballet. Suddenly, Cinderella's fairy godmother appears, and Ella Bella is transported into the beloved story of Cinderella. This delightful book's final page describes the ballet Cinderella, with music by the great Russian composer, Sergei Prokofiev.   (back flap)   ABOUT THE AUTHOR  James Mayhew was born in Blundeston, a tiny village in Suffolk, England. Today he lives with his wife and son in Letchworth Garden City, England. The author and illustrator of many popular children's books, James Mayhew claims that he began writing so that he would have something to illustrate. He is also the author of  Ella Bella Ballerina and The Sleeping Beauty,  published in North America by Barron's.",,,,,,,32,,,,,English,,,,9.78076E+12,0,0,,Unread,,,,,,,0,,,,05:44.6,,,,,,MFv1PgAACAAJ,,0,,
Emma and Julia Love Ballet,,,,,Barbara McClintock,"McClintock, Barbara",,,,,Scholastic Press,,2016,,Internet Archive Wishlist,"Award-winning author/artist Barbara McClintock has created this enchanting picture book story that will charm every child with ballet dreams!  Emma is little. Julia is big. They both love ballet.  Emma takes ballet lessons. So does Julia. Emma is learning to be a ballerina.  Julia is a professional ballerina.  They are both excited about the big performance in the theater tonight. Emma will be watching from the audience.  Julia will be dancing onstage! And afterward, Emma will go backstage to meet her ballet hero!  Barbara McClintock's richly illustrated, heartwarming story is sure to become a perennial favorite.",,,,,,,32,,,,,English,,,,9.78044E+12,0,0,,Unread,,,,,,,0,,,,01:43.2,,,,,,zzGyoAEACAAJ,,0,,
Fancy Nancy and the Posh Puppy,,,,,Jane O'Connor,"O'Connor, Jane",,,,,Harper Collins,3/27/2007,2007,,Juvenile Fiction,"Fancy Nancy is back! And when her family decides to get a dog, she's certain she can be fancier than ever. After all, a papillon—a small, delicate, fluffy dog—is the ultimate accessory. But her family wants a large, plain dog. How unglamorous!   With Fancy Nancy's trademark humor and warmth, Nancy discovers that real fanciness does not depend simply on appearance but more on a genuine joie de vivre, which is a fancy phrase for having lots of fun.",,,,,,,32,,,,,English,,,,9.78006E+12,0,0,,Unread,,,,,,,0,,,,45:07.4,,,,,,sAx668XwC9UC,,0,,
